,FighterID,URL,Age,Height,Weight,Experience,Arm span,Leg span,Accuracy strikes,Accented strikes,Missed strikes,Number takedowns,Strike protection,Takedown protection,Wins,Losses,Drafts,KO/TKO
10,174886,https://ufc.ru/athlete/brendon-moreno,29.0,170.18,61.67,7.0,177.8,96.52,43.0,3.8,3.4,1.73,56.0,64.0,21.0,7.0,2.0,5.0
11,238944,https://ufc.ru/athlete/deyvezon-figeredo,35.0,165.1,56.68,6.0,172.72,96.52,55.0,3.09,3.5,1.44,51.0,57.0,21.0,3.0,1.0,9.0
12,752432,https://ufc.ru/athlete/amir-albazi,29.0,165.1,57.14,3.0,172.72,96.52,39.0,2.8,3.07,1.71,63.0,40.0,17.0,1.0,0.0,5.0
13,323464,https://ufc.ru/athlete/brendon-royval,30.0,162.56,56.91,5.0,175.26,93.98,40.0,4.57,3.24,0.63,65.0,88.0,24.0,11.0,0.0,11.0
14,846995,https://ufc.ru/athlete/kay-kara-frens,30.0,167.64,57.14,8.0,167.64,96.52,54.0,3.66,3.14,1.48,67.0,93.0,19.0,4.0,1.0,5.0
15,783773,https://ufc.ru/athlete/mateus-nikolau,31.0,167.64,57.14,6.0,166.37,96.52,48.0,4.67,3.14,2.84,60.0,78.0,24.0,7.0,0.0,5.0
16,303080,https://ufc.ru/athlete/alex-perez,33.0,172.72,57.14,7.0,177.8,96.52,40.0,4.24,4.46,0.63,56.0,47.0,16.0,7.0,0.0,2.0
17,442535,https://ufc.ru/athlete/mett-shnell,36.0,170.18,57.14,11.0,167.64,96.52,44.0,3.47,2.76,3.88,57.0,60.0,20.0,12.0,1.0,3.0
18,812799,https://ufc.ru/athlete/tim-eliott,28.0,165.1,64.39,2.0,172.72,99.06,52.0,4.46,3.92,0.56,54.0,69.0,18.0,6.0,0.0,11.0
19,417722,https://ufc.ru/athlete/manel-keype,32.0,170.18,63.03,3.0,170.18,95.25,50.0,3.13,2.94,5.41,52.0,80.0,16.0,4.0,1.0,6.0
20,245126,https://ufc.ru/athlete/liana-dzhodzhua-0,34.0,170.18,61.22,9.0,180.34,99.06,52.0,4.73,2.41,1.97,58.0,45.0,23.0,4.0,0.0,3.0
21,118486,https://ufc.ru/athlete/su-mudaezhri,32.0,167.64,60.99,6.0,172.72,96.52,41.0,4.46,2.41,6.55,57.0,79.0,16.0,4.0,0.0,3.0
22,474859,https://ufc.ru/athlete/tagir-ulanbekov,36.0,162.56,61.22,9.0,162.56,93.98,47.0,3.93,3.15,2.07,61.0,83.0,16.0,3.0,0.0,8.0
23,631520,https://ufc.ru/athlete/dzhina-mazani-0,31.0,180.34,66.66,5.0,177.8,101.6,44.0,5.33,3.4,1.36,58.0,64.0,17.0,4.0,0.0,7.0
24,558132,https://ufc.ru/athlete/cody-durden,30.0,171.45,61.67,5.0,170.18,96.52,53.0,5.03,4.26,1.71,59.0,85.0,16.0,5.0,0.0,7.0
25,402414,https://ufc.ru/athlete/aldzhemeyn-sterling,30.0,172.72,61.67,9.0,179.07,102.87,51.0,4.37,5.16,0.58,52.0,70.0,21.0,8.0,1.0,8.0
26,235956,https://ufc.ru/athlete/merb-dvalishvili,25.0,172.72,61.67,6.0,170.18,96.52,42.0,4.61,3.77,0.53,59.0,73.0,20.0,7.0,1.0,9.0
27,469274,https://ufc.ru/athlete/genri-sekhudo,36.0,172.72,67.12,9.0,181.61,97.79,46.0,5.71,3.7,0.96,57.0,47.0,20.0,7.0,0.0,9.0
28,361292,https://ufc.ru/athlete/kori-sendkhagen,38.0,172.72,61.22,12.0,172.72,93.98,33.0,3.91,2.61,2.82,71.0,84.0,24.0,4.0,0.0,7.0
29,913637,https://ufc.ru/athlete/petr-yan,36.0,167.64,61.67,9.0,163.83,92.71,44.0,5.45,6.14,0.47,56.0,82.0,20.0,8.0,0.0,5.0
30,356522,https://ufc.ru/athlete/marlon-vera,27.0,172.72,61.22,2.0,175.26,99.06,70.0,4.85,0.73,4.28,75.0,100.0,16.0,0.0,0.0,1.0
31,579487,https://ufc.ru/athlete/song-yadong,30.0,167.64,61.67,6.0,175.26,96.52,44.0,3.01,3.23,5.84,63.0,75.0,20.0,4.0,0.0,6.0
32,421856,https://ufc.ru/athlete/rob-font,29.0,170.18,61.45,3.0,177.8,96.52,41.0,6.75,5.89,0.0,59.0,100.0,16.0,4.0,0.0,10.0
33,109143,https://ufc.ru/athlete/dominik-kruz,31.0,180.34,73.56,11.0,175.26,106.68,48.0,7.17,4.75,0.27,60.0,84.0,25.0,7.0,0.0,11.0
34,716982,https://ufc.ru/athlete/pedro-munhoz,30.0,180.34,70.61,9.0,180.34,105.41,46.0,4.63,4.07,0.73,52.0,59.0,16.0,4.0,0.0,6.0
35,609065,https://ufc.ru/athlete/umar-nurmagomedov,32.0,172.72,66.21,9.0,175.26,99.06,39.0,4.19,6.66,0.95,50.0,56.0,15.0,3.0,0.0,3.0
36,935276,https://ufc.ru/athlete/riki-saymon,29.0,172.72,66.21,8.0,177.8,99.06,41.0,3.34,2.86,1.12,62.0,76.0,19.0,2.0,0.0,7.0
37,673240,https://ufc.ru/athlete/dzhonatan-martinez,26.0,170.18,74.37,3.0,175.26,93.98,46.0,4.44,3.05,2.19,67.0,93.0,14.0,0.0,0.0,4.0
38,117543,https://ufc.ru/athlete/edrien-yanez,38.0,168.91,72.56,7.0,177.8,100.33,36.0,4.07,4.66,0.92,61.0,47.0,18.0,4.0,0.0,6.0
39,136196,https://ufc.ru/athlete/kris-gutierez,35.0,180.34,66.21,6.0,182.88,101.6,40.0,5.12,7.1,0.42,55.0,91.0,23.0,7.0,0.0,11.0
40,139551,https://ufc.ru/athlete/max-holloway,29.0,170.18,65.75,4.0,184.15,91.44,49.0,4.57,2.74,4.71,62.0,71.0,17.0,0.0,0.0,3.0
41,314804,https://ufc.ru/athlete/yair-rodriguez,36.0,170.18,73.74,12.0,182.88,97.79,41.0,3.93,4.52,0.7,52.0,73.0,17.0,8.0,0.0,6.0
42,766576,https://ufc.ru/athlete/brian-ortega,28.0,177.8,66.21,5.0,177.8,101.6,59.0,2.48,1.71,3.26,57.0,33.0,15.0,2.0,0.0,0.0
43,354890,https://ufc.ru/athlete/arnold-allen,30.0,175.26,65.98,5.0,180.34,101.6,49.0,5.29,3.65,0.18,57.0,70.0,13.0,2.0,0.0,6.0
44,796838,https://ufc.ru/athlete/iliya-topuriya,31.0,170.18,65.98,6.0,180.34,96.52,46.0,3.96,3.69,1.15,58.0,56.0,17.0,6.0,0.0,5.0
45,172245,https://ufc.ru/athlete/dzhosh-emmet,37.0,180.34,66.21,13.0,190.5,104.14,44.0,4.0,4.12,0.38,59.0,76.0,23.0,11.0,0.0,14.0
46,281386,https://ufc.ru/athlete/calvin-kattar,35.0,177.8,72.01,12.0,186.69,104.14,51.0,4.16,2.93,0.56,63.0,65.0,21.0,14.0,0.0,4.0
47,453328,https://ufc.ru/athlete/giga-chikadze,33.0,177.8,69.84,13.0,187.96,104.14,54.0,3.54,3.19,2.32,52.0,56.0,34.0,9.0,0.0,10.0
48,762114,https://ufc.ru/athlete/movsar-evloev,34.0,180.34,70.74,6.0,177.8,101.6,60.0,7.35,7.5,0.13,54.0,75.0,26.0,4.0,0.0,20.0
